Question,Answer,Correct,Title
Which Node.js package can parse a string of XML elements into a JavaScript object?,"Express.js
XML-JS
xml2js
Async.js",xml2js,"Graded Quiz

Graded Quiz
.
 • 20 min

DueJun 25, 11:59 PM +07"
Which web application framework is based on the Node.js runtime environment?,"XML-JS
Express
JSON
Async.js",Express,"Graded Quiz

Graded Quiz
.
 • 20 min

DueJun 25, 11:59 PM +07"
"The Node.js framework treats HTTP requests at a lower network level. In contrast, Express implements an app class for what purpose?","Access a URL
Lookup web services
Map to a web resource path
Parse through a network path",Map to a web resource path,"Graded Quiz

Graded Quiz
.
 • 20 min

DueJun 25, 11:59 PM +07"
What do you call to create a web server object to listen for incoming requests on a port?,"app.listen
http.view
app.request
http.name",app.listen,"Graded Quiz

Graded Quiz
.
 • 20 min

DueJun 25, 11:59 PM +07"
Which of the following kind of task is middleware most useful for?,"Performing large calculations
Routing
Parsing strings
Error handling",Error handling,"Graded Quiz

Graded Quiz
.
 • 20 min

DueJun 25, 11:59 PM +07"
Which type of authentication is widely used for password recovery by providing a magic link to the user?,"Single Sign On
Token-based
Session-based
Passwordless",Passwordless,"Graded Quiz

Graded Quiz
.
 • 20 min

DueJun 25, 11:59 PM +07"
Which statement regarding the jsonwebtoken.verify() method is true?,"It is used to return an HTTP status code
It is used to generate a JSON web token
It is used to return a response
It is used to verify a JSON web token",It is used to verify a JSON web token,"Graded Quiz

Graded Quiz
.
 • 20 min

DueJun 25, 11:59 PM +07"
Which library and module are suited for black-box testing REST APIs?,"Express/TestAPI
Mocha/SuperTest
Postman/TestAPI
Koa/SuperTest",Mocha/SuperTest,"Graded Quiz

Graded Quiz
.
 • 20 min

DueJun 25, 11:59 PM +07"
Have you added Dockerfile to the root directory? ,"Yes
No",Yes,"Containerize Checklist

Graded Quiz
.
 • 12 min

DueJul 9, 11:59 PM +07"
Have you built your image locally? ,"Yes
No",Yes,"Containerize Checklist

Graded Quiz
.
 • 12 min

DueJul 9, 11:59 PM +07"
Have you pushed your image to the IBM container registry? ,"Yes
No",Yes,"Containerize Checklist

Graded Quiz
.
 • 12 min

DueJul 9, 11:59 PM +07"
Have you added deployment.yaml file? ,"Yes
No",Yes,"Containerize Checklist

Graded Quiz
.
 • 12 min

DueJul 9, 11:59 PM +07"
Have you deployed the application to the lab environment? ,"Yes
No",Yes,"Containerize Checklist

Graded Quiz
.
 • 12 min

DueJul 9, 11:59 PM +07"
Have you forwarded the ports? ,"Yes
No",Yes,"Containerize Checklist

Graded Quiz
.
 • 12 min

DueJul 9, 11:59 PM +07"
"What is the main benefit of using PaaS, such as IBM Cloud Code Engine, to deploy your microservices?","Scales your microservices manually based on predefined rules and configurations
Provides a design to run a single type of workload
Provides fully managed deployment services to help your deployment process with minimal efforts
Enables handling of the full deployment process by a single user",Provides fully managed deployment services to help your deployment process with minimal efforts,"Graded Quiz: Create and Deploy Microservices

Graded Quiz
.
 • 30 min

DueJul 2, 11:59 PM +07"
What are the three deployment modes of IBM Cloud Code Engine?,"(1) Build and deploy applications from source code. (2) Deploy container image-based applications and (3) REST APIs
(1) Build and deploy applications from source code. (2) Deploy container image-based applications, and (3) Run Jobs
(1) Run REST APIs, (2) Build and Run Source Code, and (3) Run Jobs
(1) SCP. (2) TCP, and (3) HTTP","(1) Build and deploy applications from source code. (2) Deploy container image-based applications, and (3) Run Jobs","Graded Quiz: Create and Deploy Microservices

Graded Quiz
.
 • 30 min

DueJul 2, 11:59 PM +07"
Which of the following statement is correct about Code Engine project and application?,"A project in IBM Cloud Code Engine acts like a namespace so that you can create and deploy multiple applications even with the same name across projects.
A project in IBM Cloud Code Engine acts like a namespace so that you can only create one project under your account.
A project can only contain one application.
You can have two applications sharing the same name in the same project.",A project in IBM Cloud Code Engine acts like a namespace so that you can create and deploy multiple applications even with the same name across projects.,"Graded Quiz: Create and Deploy Microservices

Graded Quiz
.
 • 30 min

DueJul 2, 11:59 PM +07"
What are the two main application-building methods supported in IBM Cloud Code Engine?,"Building container image with DockerHub and Buildpack.
Building container image with Github Action and DockerHuB:
Building container image with Dockerfile and Buildpack.
Building container image with Dockerpack and Buildpack.",Building container image with Dockerfile and Buildpack.,"Graded Quiz: Create and Deploy Microservices

Graded Quiz
.
 • 30 min

DueJul 2, 11:59 PM +07"
What is the role of docker in container technology?,"A software platform for building and running applications as containers
A container orchestration platform
A cloud tool to scan your container images for security vulnerabilities
An application development and testing IDE",A software platform for building and running applications as containers,"Graded Quiz: Create and Deploy Microservices

Graded Quiz
.
 • 30 min

DueJul 2, 11:59 PM +07"
What is normally the first command of a Dockerfile?,"FROM
CMD
COPY
EXPOSE",FROM,"Graded Quiz: Create and Deploy Microservices

Graded Quiz
.
 • 30 min

DueJul 2, 11:59 PM +07"
What is a container registry?,"A container repository where your pushed container images are curated
A software platform to build a container image
A cloud IDE to develop container
A cloud platform to deploy container images.",A container repository where your pushed container images are curated,"Graded Quiz: Create and Deploy Microservices

Graded Quiz
.
 • 30 min

DueJul 2, 11:59 PM +07"
"Once your microservice or web application is deployed, how can you test it?","IBM Cloud Code Engine will provide a container image reference for you to test your application.
You can only verify your application’s running status via log files.
IBM Cloud Code Engine will provide a URL to download your microservice, and then you can unzip and run it.
IBM Cloud Code Engine will provide a URL for you to run or test your service or application.",IBM Cloud Code Engine will provide a URL for you to run or test your service or application.,"Graded Quiz: Create and Deploy Microservices

Graded Quiz
.
 • 30 min

DueJul 2, 11:59 PM +07"
What is the correct IBM Cloud CLI command to create and deploy an application?,"“ibmcloud ce app create –image us.icr.io/mynamespace/hello_repo --registry-secret myregistry.”
“ibmcloud ce app create --name helloworldapp --image us.icr.io/mynamespace/hello_repo --registry-secret myregistry”
“app create --name helloworldapp --image us.icr.io/mynamespace/hello_repo --registry-secret myregistry”
“ ibmcloud ce createapp --n helloworldapp --i us.icr.io/mynamespace/hello_repo”",“ibmcloud ce app create --name helloworldapp --image us.icr.io/mynamespace/hello_repo --registry-secret myregistry”,"Graded Quiz: Create and Deploy Microservices

Graded Quiz
.
 • 30 min

DueJul 2, 11:59 PM +07"
Which method is used by the IBM Cloud Code Engine to access your container image?,"From the Private container registry only
From the public container registry only
From the source code
From both public and private container registry",From both public and private container registry,"Graded Quiz: Create and Deploy Microservices

Graded Quiz
.
 • 30 min

DueJul 2, 11:59 PM +07"
"In the US National Institute of Standards and Technology (NIST) definition of “cloud computing”, what does the statement “shared pool of configurable computing resources” include?","Leverage cloud services over the open internet on hardware owned by the cloud provider
Five essential characteristics, three deployment models, three service models
Data security, associated with loss or unavailability of data causing business disruption
Networks, servers, storage, applications, and services","Networks, servers, storage, applications, and services","Module 1 Graded Quiz

Graded Quiz
.
 • 30 min

DueJun 11, 11:59 PM +07"
What tasks do hypervisors accomplish? Select two.,"Scale on demand to support fluctuating workloads.
Facilitate access to mainframes for multiple users to access the same data storage layer.
Enable multiple operating systems to run alongside each other, sharing the same physical computing resources.
Separates VMs logically and assigns each a share of the underlying computing power, memory, and storage.","Enable multiple operating systems to run alongside each other, sharing the same physical computing resources.
Separates VMs logically and assigns each a share of the underlying computing power, memory, and storage.","Module 1 Graded Quiz

Graded Quiz
.
 • 30 min

DueJun 11, 11:59 PM +07"
What are some of the cloud benefits that make it lower-risk for enterprises to adopt cloud? Select two.,"The pay-as-you-go model allows enterprises to experiment with technologies as opposed to making long-term decisions based on little or no trial.
Diversity of standardization in how the constantly evolving technologies integrate and interoperate.
Data security associated with loss or unavailability of data causing business disruption
The speed with which applications can be up and running on the cloud versus months on traditional platforms, means enterprises can experiment, fail fast, learn, and course correct without setting them back significantly.","The pay-as-you-go model allows enterprises to experiment with technologies as opposed to making long-term decisions based on little or no trial.
The speed with which applications can be up and running on the cloud versus months on traditional platforms, means enterprises can experiment, fail fast, learn, and course correct without setting them back significantly.","Module 1 Graded Quiz

Graded Quiz
.
 • 30 min

DueJun 11, 11:59 PM +07"
" Which of these are full-service cloud platforms?

     A.     IBM Cloud

     B.     Amazon Web Services

     C.      Google Cloud Platform

     D.     Microsoft Azure","A, B, C, and D
A, B, and C only
A only
A and B only","A, B, C, and D","Module 1 Graded Quiz

Graded Quiz
.
 • 30 min

DueJun 11, 11:59 PM +07"
An IBM Institute for Business Value study says that more than three-quarters of enterprises today are using cloud computing to expand into new industries. What additional benefits do organizations find when adopting the cloud:,"Improve customer experience and create enhanced products and services
Lengthen product lifecycles to ensure higher quality offerings
Avoid having to fail at all
Continue making expensive decisions because it often worked in the past ",Improve customer experience and create enhanced products and services,"Module 1 Graded Quiz

Graded Quiz
.
 • 30 min

DueJun 11, 11:59 PM +07"
"What are some of the results companies like Bitly, American Airlines, UBank, and ActivTrades achieve with cloud adoption?

     A.     Better customer service

     B.     Remove barriers to innovation

     C.     Demand for enterprise scale

     D.     Accelerating growth","A and B only
A, B, C, and D
B and D only
C and D only","A, B, C, and D","Module 1 Graded Quiz

Graded Quiz
.
 • 30 min

DueJun 11, 11:59 PM +07"
"IoT, AI, Blockchain, and Analytics are emerging technologies enabled by the cloud. What are some of the attributes of cloud computing that enable these technologies? Select two.","Computing resources can be accessed via internet connection
The power and scale of cloud resources
Cloud offers on-demand computing
Cloud resources are offered in a single-tenant model","The power and scale of cloud resources
Cloud offers on-demand computing","Module 1 Graded Quiz

Graded Quiz
.
 • 30 min

DueJun 11, 11:59 PM +07"
"What is the three-way symbiotic relationship between IoT, AI, and Cloud?","Power, scale, dynamic nature, and economics of the cloud resources
AI consumes the data produced by IoT devices
Making sense of the endless streams of data from IoT devices
IoT delivers the data, AI powers the insights, and both emerging technologies leverage cloud's scalability and processing power","IoT delivers the data, AI powers the insights, and both emerging technologies leverage cloud's scalability and processing power","Module 1 Graded Quiz

Graded Quiz
.
 • 30 min

DueJun 11, 11:59 PM +07"
"What is the three-way relationship between blockchain, AI, and the Cloud?","Lends trust and transparency to AI by recording the data and variables that go into a decision made in an AI algorithm.
Globally distributed, scalable, and cost-efficient computing resources.
Blockchain provides an immutable network allowing members to view only those transactions that are relevant to them.
Blockchain provides the trusted, decentralized source of truth, AI powers the analytics and decisions made from the collected data, and cloud provides the globally distributed, scalable, and cost-efficient computing resources to support both technologies.","Blockchain provides the trusted, decentralized source of truth, AI powers the analytics and decisions made from the collected data, and cloud provides the globally distributed, scalable, and cost-efficient computing resources to support both technologies.","Module 1 Graded Quiz

Graded Quiz
.
 • 30 min

DueJun 11, 11:59 PM +07"
Which of these are essential characteristics of the Cloud? Select two.,"Fixed fee
On-demand self-service
Resource pooling
Single-tenant","On-demand self-service
Resource pooling","Module 1 Graded Quiz

Graded Quiz
.
 • 30 min

DueJun 11, 11:59 PM +07"
"What is the result of the following lines of code?

1
2
3
a=np.array([-1,1])
b=np.array([1,1])
np.dot(a,b) ","array([0,2])
1
0",0,"Module 4 Graded Quiz

Graded Quiz
.
 • 30 min

DueJul 2, 11:59 PM +07"
"What is the value of Z after the following code is run?

1
2
3
4
5
 
X=np.array([[1,0],[0,1]])
Y=np.array([[0,1],[1,0]])
Z=X+Y
 ","array([[1,1],[1,1]])
array([[1,0],[0,1]])
array([[0,1],[1,1]])","array([[1,1],[1,1]])","Module 4 Graded Quiz

Graded Quiz
.
 • 30 min

DueJul 2, 11:59 PM +07"
"What values does the variable  out take if the following lines of code are run?

1
2
3
4
5
 
X=np.array([[1,0,1],[2,2,2]]) 
out=X[0:2,2]
out
 ","array([1,0])
array([1,2])
array([1,1])","array([1,2])","Module 4 Graded Quiz

Graded Quiz
.
 • 30 min

DueJul 2, 11:59 PM +07"
"What is the value of  Z after the following code is run?

1
2
3
4
5
 
X=np.array([[1,0],[0,1]])
Y=np.array([[2,2],[2,2]])
Z=np.dot(X,Y)
 ","array([[2,2],[2,2]])
array([[2,0],[0,2] ])
array([[3,2],[2,3]])","array([[2,2],[2,2]])","Module 4 Graded Quiz

Graded Quiz
.
 • 30 min

DueJul 2, 11:59 PM +07"
"Consider the following text file:  Example1.txt:

This is line 1

This is line 2

This is line 3

What is the output of the following lines of code?

1
2
3
4
5
6
 
with open(""Example1.txt"",""r"") as File1:
 
    file_stuff=File1.readline ()
 
    print(file_stuff)","This is line 1
This is line 1

This is line 2

This is line 3
This is line 1

This is line 2",This is line 1,"Module 4 Graded Quiz

Graded Quiz
.
 • 30 min

DueJul 2, 11:59 PM +07"
"Consider the following line of code:

1
2
3
 
with open(example1,""r"") as file1:
 

What mode is the file object in?","read
write
append",read,"Module 4 Graded Quiz

Graded Quiz
.
 • 30 min

DueJul 2, 11:59 PM +07"
"What do the following lines of code do?

1
2
3
4
5
 
with open(""Example.txt"",""a"") as writefile:
  
  writefile.write(""This is line A\n"")
  writefile.write(""This is line B\n"")","Read the file ""Example.txt""
Write to the file “Example.txt”
Append the file ""Example.txt""","Append the file ""Example.txt""","Module 4 Graded Quiz

Graded Quiz
.
 • 30 min

DueJul 2, 11:59 PM +07"
"What task do the following lines of code perform?

1
2
3
4
5
6
 
with open('Example2.txt','r') as readfile:
    with open('Example3.txt','w') as writefile:
          for line in readfile:
                writefile.write(line)
 ","Check the mode of the open function for each file object.
Copy the text from Example2.txt to Example3.txt.
Print out the content of Example2.txt.",Copy the text from Example2.txt to Example3.txt.,"Module 4 Graded Quiz

Graded Quiz
.
 • 30 min

DueJul 2, 11:59 PM +07"
Consider the dataframe df. How would you access the element in the 1st row 3rd column,"df.iloc[2,0]
df.iloc[1,3]
df.iloc[0,2]","df.iloc[0,2]","Module 4 Graded Quiz

Graded Quiz
.
 • 30 min

DueJul 2, 11:59 PM +07"
What function would you use to load a csv file in Pandas?,"pd.read_csv
pd.read_excel",pd.read_csv,"Module 4 Graded Quiz

Graded Quiz
.
 • 30 min

DueJul 2, 11:59 PM +07"
How is GitHub related to Git?,"GitHub is an online hosting service for Git repositories.
GitHub is an open source tool used to create Git.
GitHub is a main section in the Git project workflow.
GitHub is a program required for version control on Git.",GitHub is an online hosting service for Git repositories.,"Graded Quiz: Getting Started with Git and GitHub

Graded Quiz
.
 • 15 min

DueJun 11, 11:59 PM +07"
What type of version control system is Git?,"Local
Centralized
Remote
Distributed",Distributed,"Graded Quiz: Getting Started with Git and GitHub

Graded Quiz
.
 • 15 min

DueJun 11, 11:59 PM +07"
What is a repository?,"A basic unit of storage in Git that cannot be changed
A plain-text file that explains the purpose of a project
A data structure that stores documents and source code
A collection of user accounts that are connected to a pull request",A data structure that stores documents and source code,"Graded Quiz: Getting Started with Git and GitHub

Graded Quiz
.
 • 15 min

DueJun 11, 11:59 PM +07"
What is the purpose of a license file?,"Describe the purpose of the project.
Record all changes made to a repository.
Express how people can use your code.
Establish secure remote login between computers.",Express how people can use your code.,"Graded Quiz: Getting Started with Git and GitHub

Graded Quiz
.
 • 15 min

DueJun 11, 11:59 PM +07"
"On GitHub, what are commits?","Saved changes
Pull requests
Tags
Merges",Saved changes,"Graded Quiz: Getting Started with Git and GitHub

Graded Quiz
.
 • 15 min

DueJun 11, 11:59 PM +07"
"In the following declaration, what is the type of the variable ‘pi’?

var pi = “3.14”; ","float 
char 
number 
string ",string ,"Graded Quiz

Graded Quiz
.
 • 20 min

DueJul 2, 11:59 PM +07"
How do you define an array called array1 in JavaScript? ,"var array1 = [1,2,3] 
var array1 = new Array[1,2,3] 
var array1 = (1,2,3) 
var array1 = new Array((1,2,3)) ","var array1 = [1,2,3] ","Graded Quiz

Graded Quiz
.
 • 20 min

DueJul 2, 11:59 PM +07"
"What does the following statement do?

var ndate = new Date() ; ","Assigns the current local time to ndate 
Assigns the current Greenwich Mean Time to ndate 
Assigns an empty string with the properties of dates to ndate
Returns an error ",Assigns the current local time to ndate ,"Graded Quiz

Graded Quiz
.
 • 20 min

DueJul 2, 11:59 PM +07"
Which DOM function returns a node object matching a div with an id value “example_id”? ,"document.getElementById(div, “example_id”) 
document.getElementById(“example_id”) 
div.getValueOf(“example_id”) 
element.getNodeById(“example_id”) ",document.getElementById(“example_id”) ,"Graded Quiz

Graded Quiz
.
 • 20 min

DueJul 2, 11:59 PM +07"
How are numbers converted to strings? ,"string(123) 
(123).toString() 
(123).string 
toString(123) ",(123).toString() ,"Graded Quiz

Graded Quiz
.
 • 20 min

DueJul 2, 11:59 PM +07"
"What is the value of ‘total’ after the following statement is executed?

var total = 10 + 1 +” 3”;","“1013”
14
“113”
This results in an error",“113”,"Graded Quiz

Graded Quiz
.
 • 20 min

DueJul 2, 11:59 PM +07"
"What would the alert be, when the following code is executed?

var a = new String(“Hello”);

var b = “Hello”;

if (a ===b){

alert(“Same”);

}else{

alert(“Different”);

}","Same
Different
It would not give any alert as it is an error
None of the above",Different,"Graded Quiz

Graded Quiz
.
 • 20 min

DueJul 2, 11:59 PM +07"
Which of the following is the proper way to create a `for` loop?,"loop (for i = minVal; i < maxVal; i++) { … }
for (var i = minVal; i++; i < maxVal) { … }
for (i < maxVal) { … }
for (var i = minVal; i < maxVal; i++) { … }",for (var i = minVal; i < maxVal; i++) { … },"Graded Quiz

Graded Quiz
.
 • 20 min

DueJul 2, 11:59 PM +07"
Select all of the following which are properways to add a `color` property to a custom `Car` object. ,"Modify the code of the Car object directly to add a `color` parameter in the constructor
Car.color = “Red”
Car.prototype(Color, “Red”)
Car.prototype.color = “Red”","Modify the code of the Car object directly to add a `color` parameter in the constructor
Car.prototype.color = “Red”","Graded Quiz

Graded Quiz
.
 • 20 min

DueJul 2, 11:59 PM +07"
Which of the following is not an event binder in JavaScript?,"onclick
onhover
onmouseover
onload",onhover,"Graded Quiz

Graded Quiz
.
 • 20 min

DueJul 2, 11:59 PM +07"
What are the 3 parts to a response message?,"Start or status line, header, and body
Encoding, body, and cache
Bookmarks, history, and security
HTTP headers, blank line, and body","Start or status line, header, and body","Module 5 Graded Quiz

Graded Quiz
.
 • 12 min

DueJul 9, 11:59 PM +07"
"What is the purpose of this line of code ""table_row=table.find_all(name=’tr’)"" used in webscraping?","It will find all of the data within the table marked with a tag “tr”
It will find all of the data within the table marked with a tag “a”
It will find all of the data within the table marked with a tag “p”
It will find all of the data within the table marked with a tag “h1”",It will find all of the data within the table marked with a tag “tr”,"Module 5 Graded Quiz

Graded Quiz
.
 • 12 min

DueJul 9, 11:59 PM +07"
In what data structure do HTTP responses generally return?,"Nested Lists
Tuples
Lists
JSON",JSON,"Module 5 Graded Quiz

Graded Quiz
.
 • 12 min

DueJul 9, 11:59 PM +07"
The Python library we used to plot the chart in the lab is,"Pandas
Plotly
MatPlotLib
PyCoinGecko",MatPlotLib,"Module 5 Graded Quiz

Graded Quiz
.
 • 12 min

DueJul 9, 11:59 PM +07"
"Have you created an IBM Cloud Lite account?

Note: Select “Yes” if you already had an IBM Cloud Lite account and therefore didn’t need to create it for Module 1.","Yes
No",Yes,"Check-list : Static Pages

Graded Quiz
.
 • 18 min

DueJun 11, 11:59 PM +07"
Have you created an IBM Cloudant service instance? ,"Yes
No",Yes,"Check-list : Static Pages

Graded Quiz
.
 • 18 min

DueJun 11, 11:59 PM +07"
Have you created a Watson Natural Language Understanding (NLU) service instance? ,"Yes
No",Yes,"Check-list : Static Pages

Graded Quiz
.
 • 18 min

DueJun 11, 11:59 PM +07"
Have you forked the GitHub repo containing the project template? ,"Yes
No",Yes,"Check-list : Static Pages

Graded Quiz
.
 • 18 min

DueJun 11, 11:59 PM +07"
Have you added navigation to the website using Bootstrap? ,"Yes 
No",Yes ,"Check-list : Static Pages

Graded Quiz
.
 • 18 min

DueJun 11, 11:59 PM +07"
"Have you added the ""About Us"" static page? ","Yes
No",Yes,"Check-list : Static Pages

Graded Quiz
.
 • 18 min

DueJun 11, 11:59 PM +07"
"Have you added the ""Contact Us"" static page? ","Yes
No",Yes,"Check-list : Static Pages

Graded Quiz
.
 • 18 min

DueJun 11, 11:59 PM +07"
Have you run and test your Django application? ,"Yes
No",Yes,"Check-list : Static Pages

Graded Quiz
.
 • 18 min

DueJun 11, 11:59 PM +07"
 Have you updated your forked repository with all changes? ,"Yes
No",Yes,"Check-list : Static Pages

Graded Quiz
.
 • 18 min

DueJun 11, 11:59 PM +07"
Have you created a dealership list template? ,"Yes
No",Yes,"Dynamic Pages Checklist

Graded Quiz
.
 • 12 min

DueJul 2, 11:59 PM +07"
Have you updated the dealership list view? ,"Yes
No",Yes,"Dynamic Pages Checklist

Graded Quiz
.
 • 12 min

DueJul 2, 11:59 PM +07"
Have you created a dealer details/reviews template? ,"Yes
No",Yes,"Dynamic Pages Checklist

Graded Quiz
.
 • 12 min

DueJul 2, 11:59 PM +07"
Have you updated the dealership list view? ,"Yes
No",Yes,"Dynamic Pages Checklist

Graded Quiz
.
 • 12 min

DueJul 2, 11:59 PM +07"
Have you created a review submission page and template? ,"Yes
No",Yes,"Dynamic Pages Checklist

Graded Quiz
.
 • 12 min

DueJul 2, 11:59 PM +07"
Have you added a review submission view? ,"Yes
No",Yes,"Dynamic Pages Checklist

Graded Quiz
.
 • 12 min

DueJul 2, 11:59 PM +07"
"What is the value of x after the following lines of code?

x=1

x=x+1","1
2
4",2,"Module 1 Graded Quiz

Graded Quiz
.
 • 27 min

DueJun 11, 11:59 PM +07"
What is the result of the following operation 3+2*2 ?,"3
7
9",7,"Module 1 Graded Quiz

Graded Quiz
.
 • 27 min

DueJun 11, 11:59 PM +07"
What is the result of the following code segment: type(int(12.3)),"int
str
float ",int,"Module 1 Graded Quiz

Graded Quiz
.
 • 27 min

DueJun 11, 11:59 PM +07"
What is the result of the following code segment: int(True),"1
0
error",1,"Module 1 Graded Quiz

Graded Quiz
.
 • 27 min

DueJun 11, 11:59 PM +07"
"In Python, what is the result of the following operation: '1'+'2' ?","3
'3'
'12'",'12',"Module 1 Graded Quiz

Graded Quiz
.
 • 27 min

DueJun 11, 11:59 PM +07"
What is the result of the following: 'hello'.upper() ?,"'HELLO' 
 'Hello'
'hello'",'HELLO' ,"Module 1 Graded Quiz

Graded Quiz
.
 • 27 min

DueJun 11, 11:59 PM +07"
What is the result of the following : str(1)+str(1) ?,"'11'
2",'11',"Module 1 Graded Quiz

Graded Quiz
.
 • 27 min

DueJun 11, 11:59 PM +07"
"What is the result of the following: ""ABC"".replace(""AB"", ""ab"") ?","'abC' 
'ABc'",'abC' ,"Module 1 Graded Quiz

Graded Quiz
.
 • 27 min

DueJun 11, 11:59 PM +07"
"In Python 3, what is the type of the variable x after the following: x=1/1 ?","float
int",float,"Module 1 Graded Quiz

Graded Quiz
.
 • 27 min

DueJun 11, 11:59 PM +07"
What are some best practices organizations need to follow in order to protect their cloud resources and systems? Select two.,"Distribute tasks, workloads, and network traffic
Adopt a shared responsibility model 
Active monitoring for security and compliance 
Run security monitoring tools on a periodic basis to ensure security threats and breaches are flagged ","Adopt a shared responsibility model 
Active monitoring for security and compliance ","Module 5 Graded Quiz

Graded Quiz
.
 • 30 min

DueJul 9, 11:59 PM +07"
Which of the following are key components of Identity and Access Management (IAM)? Select two.,"Protecting data while it is at rest, in motion, and in use 
Cloud Directory Services 
Embedding security through the life cycle of an application 
Audit and Compliance ","Cloud Directory Services 
Audit and Compliance ","Module 5 Graded Quiz

Graded Quiz
.
 • 30 min

DueJul 9, 11:59 PM +07"
"Which of these statements are true of cloud encryption

A.   Encryption ensures only authorized users have access to sensitive dat

B.   When encrypted data is intercepted without authorization, it is unreadable and meaningles

C.   Encryption protects data when it is at rest, in transit, and in use in memo

D.   Encryption eliminates data security risk","A, B, and D only 
A and C only 
A, B, C, and D
A, B, and C only ","A, B, and C only ","Module 5 Graded Quiz

Graded Quiz
.
 • 30 min

DueJul 9, 11:59 PM +07"
Identify some of the standard cloud monitoring best practices from the provided options. Select two. ,"Authenticate users attempting to access their cloud resources    
Track usage and cost of your cloud resources and services 
Encrypt data before it is sent to the cloud
Leverage end-user experience monitoring solutions to capture the performance of an application from the point of view of its end users","Track usage and cost of your cloud resources and services 
Leverage end-user experience monitoring solutions to capture the performance of an application from the point of view of its end users","Module 5 Graded Quiz

Graded Quiz
.
 • 30 min

DueJul 9, 11:59 PM +07"
"Which job role requires the following skills?

·        Collaboration with development and operations teams 

·        Containerization expertise

·        Creating custom automation tools

·        Building and maintaining configuration and deployment frameworks

·        Monitoring security and measuring performance ","Cloud Data Engineers 
Cloud DevOps Engineer 
Cloud Solutions Architects
Cloud Integration Specialists",Cloud DevOps Engineer ,"Module 5 Graded Quiz

Graded Quiz
.
 • 30 min

DueJul 9, 11:59 PM +07"
In what three environments can container orchestration be implemented?,"Private cloud environments
 A single device 
On-premises environments
Public cloud environments","Private cloud environments
On-premises environments
Public cloud environments","Module 2 - Graded Quiz: Kubernetes Basics

Graded Quiz
.
 • 30 min

DueJun 18, 11:59 PM +07"
What is the most popular container orchestration tool used as of 2022?,"Kubernetes 
Marathon
Nomad
Docker Swarm",Kubernetes ,"Module 2 - Graded Quiz: Kubernetes Basics

Graded Quiz
.
 • 30 min

DueJun 18, 11:59 PM +07"
