Question,Answer,Correct,Title
Which of the following INCORRECTLY pairs a tool used by intermediaries with an example of its use?,"Tiered formulary- an insurance company requires a smaller copayment from patients when they use the drugs preferred by the company, usually generic drugs. 

Pre-admission review- prior to surgery, an insurance company requires that a patient get approval for a hospital stay following surgery, or else the company will not pay for the hospitalization. 

Case management- an insurance company works with doctors to ensure that a patient receives appropriate follow-up care after returning home from a hospitalization. 

Utilization review- an insurance company asks for a second physician’s opinion before approving a patient’s surgery. ",Case management- an insurance company works with doctors to ensure that a patient receives appropriate follow-up care after returning home from a hospitalization. ,"Final Assessment

Graded Quiz
.
 • 1h

DueSep 3, 11:59 PM +07"
Which of the following is true regarding public and private health insurance?,"Within the private insurance market in the US, is uncommon for people to need to buy separate coverage for things like optometry or dental care

Individual private insurance companies in the US each offer one type of product (e.g. HMO, PPO)

Countries have either public insurance or private insurance options, but not both

If a government decides to act as a public intermediary, it can decide what type of plan to act most like (e.g. HMO, PPO)","If a government decides to act as a public intermediary, it can decide what type of plan to act most like (e.g. HMO, PPO)","Final Assessment

Graded Quiz
.
 • 1h

DueSep 3, 11:59 PM +07"
Which of the following does NOT accurately describe Medicaid?,"Medicaid is a government-run program that covers low-income people

Though the Federal government oversees some aspects of Medicaid, a different Medicaid program is operated by each state

Medicaid is the only public insurance program in the US with broad coverage for long-term care

Most people enrolled in Medicaid have traditional indemnity style insurance coverage",Most people enrolled in Medicaid have traditional indemnity style insurance coverage,"Final Assessment

Graded Quiz
.
 • 1h

DueSep 3, 11:59 PM +07"
Which of the following is regulated by the FDA?,"Prescription drugs

Over-the-counter drugs

Medical devices

Biologic products

All of the above",All of the above,"Final Assessment

Graded Quiz
.
 • 1h

DueSep 3, 11:59 PM +07"
"You are a drug company finishing your New Drug Application with the US FDA for a newly discovered treatment for Crohn’s disease. You received a 20-year patent in 2012 for your drug, and you are expecting your NDA approval in 2020. Based on this information, how many years will you have with your drug on the market before a generic is able to enter the market as a competitor?","20 years 

12 years 

25 years 

11 years 

8 years ",12 years ,"Final Assessment

Graded Quiz
.
 • 1h

DueSep 3, 11:59 PM +07"
Which of the following are potential uses of quality data?,"Monitoring and improvement of care

Public reporting in order to incentivize future quality improvements and assist patients in provider selection

Designing better pay-for-performance metrics

All of the above",All of the above,"Final Assessment

Graded Quiz
.
 • 1h

DueSep 3, 11:59 PM +07"
What the major reason risk adjustment methods are important to use when measuring outcomes?,"To account for variation in the types of procedures physicians use to treat the same condition

To account for differences in patients presenting with the same condition

To account for differences in diagnostic capabilities at different hospitals

To account for differences in provider efficiency between geographic regions",To account for differences in patients presenting with the same condition,"Final Assessment

Graded Quiz
.
 • 1h

DueSep 3, 11:59 PM +07"
A researcher wants to use the electronic medical record to list all of the comorbid conditions that were diagnosed in patients who died from pneumonia in the year 2015. What kind of research question is this?,"exploratory

inferential

descriptive

predictive

causal",descriptive,"Final Assessment

Graded Quiz
.
 • 1h

DueSep 10, 11:59 PM +07"
Which of the following factors is relevant to assessing if a clinical research question about a disease is useful?,"The number of people the disease killed last year

The effectiveness of treatments that exist for that disease

The total spending on diagnosis and treatment of that disease

The existence of genetic risk factors for the disease

All of the above",All of the above,"Final Assessment

Graded Quiz
.
 • 1h

DueSep 10, 11:59 PM +07"
A researcher collects data about a disease from ten different medical systems. The goal of their research is to form a very large dataset in which they hope to expand what is known about risk factors for the disease. What kind of research question is this?,"Causal

Exploratory

Predictive

Inferential

None of the above",Inferential,"Final Assessment

Graded Quiz
.
 • 1h

DueSep 10, 11:59 PM +07"
Why did clinical researchers use electronic medical record data to guide treatment for our example patient Laura?,"Laura's doctors were not sure about her diagnosis.

Laura might have accidentally taken the wrong medication.

Too little was known about the particular combination of medical conditions Laura had.

Some information about Laura's prior treatment was not available at the time her condition worsened.

Laura was not an adult, and only adults are studied in clinical trials.",Too little was known about the particular combination of medical conditions Laura had.,"Final Assessment

Graded Quiz
.
 • 1h

DueSep 10, 11:59 PM +07"
What is the first step in the data mining workflow?,"See which diseases kill the most people.

Design the data extraction process carefully.

Write a preliminary version of the clinical research question 

Conduct a survey of available data sources.

Interview clinicians about their workflow.",Write a preliminary version of the clinical research question ,"Final Assessment

Graded Quiz
.
 • 1h

DueSep 10, 11:59 PM +07"
Which of the following statements about clinical data is true?,"Signals are structured data, because they are sampled at regularly occurring time points.

Observational data are usually quite expensive to obtain because they large.

Because they are created by clinicians, electronic medical record data are always more accurate than insurance records.

The primary product of randomized controlled clinical trials is observational data.

None of the above are true ",None of the above are true ,"Final Assessment

Graded Quiz
.
 • 1h

DueSep 10, 11:59 PM +07"
Which of the following is NOT an advantage of using observational data?,"Observational datasets can be very large, and capture rare events.

Observational datasets have few biases. 

Observational datasets contain data about actual patterns of clinical practice.

Observational datasets may be available at low additional cost.

All of the above are advantages.",Observational datasets have few biases. ,"Final Assessment

Graded Quiz
.
 • 1h

DueSep 10, 11:59 PM +07"
Which of the following statements is true?,"Looking for a disease-specific procedure code can increase bias.

Pharmacy records are always more accurate than the electronic medical record.

Clinicians remove diagnosis codes from the medical record if the codes are no longer accurate.

We can find biases by comparing observational datasets to manual reviews by experts of actual medical records.

All of the above are true.",We can find biases by comparing observational datasets to manual reviews by experts of actual medical records.,"Final Assessment

Graded Quiz
.
 • 1h

DueSep 10, 11:59 PM +07"
Which of the following are NOT exposures?,"A list of the patient's medications from five years ago

The kinds of foods the patient usually eats

The volume of blood lost in the patient's last surgery

Whether the patient ever smoked tobacco

All of the above are exposures",All of the above are exposures,"Final Assessment

Graded Quiz
.
 • 1h

DueSep 10, 11:59 PM +07"
Which of the following is NOT an example of non-stationarity?,"There are more medications available now than 40 years ago.

In the US, the rates of stomach cancer have decreased over time.

The Internet makes it easier for people to submit reports about adverse events from medications they have taken.

Electronic medical record systems were deployed at different medical centers in different years.

A patient's data were collected in 2010, but not analyzed until 2013.","A patient's data were collected in 2010, but not analyzed until 2013.","Final Assessment

Graded Quiz
.
 • 1h

DueSep 10, 11:59 PM +07"
Which of the following statements about timescales is true?,"Data from shorter timescales are necessarily more accurate.

A timeline is a kind of timescale.

The best timescale for studying cancer is minutes.

The best timescale for making predictions about who will be discharged from the hospital is years.

None of the above are true.",None of the above are true.,"Final Assessment

Graded Quiz
.
 • 1h

DueSep 10, 11:59 PM +07"
Which of the following statements is false?,"Machines in the intensive care unit can generate regularly-sampled time-series data.

Although we treat patients only when they are sick, the increased amount of data we collect can correct for any bias.

Knowing when a test was ordered can be useful, even if we do not know the result of the test.

A patient timeline typically contains all the clinical data for that patient.

All of these statements are true.","Although we treat patients only when they are sick, the increased amount of data we collect can correct for any bias.","Final Assessment

Graded Quiz
.
 • 1h

DueSep 10, 11:59 PM +07"
Which of these statements is true?,"Most medical events are recorded at evenly spaced intervals.

An indicator variable marks what test was ordered, but not when.

The meaning of the ordering of clinical events, such as ""A before B,"" is always clear.

A bin is usually used for data that don't fit anywhere else on the timeline.

None of these statements are true.",None of these statements are true.,"Final Assessment

Graded Quiz
.
 • 1h

DueSep 10, 11:59 PM +07"
Which of the following statements about knowledge graphs is true?,"A knowledge graph contains a representation of medical entities.

A knowledge graph may contain links to other knowledge graphs.

Important knowledge graphs are freely available to researchers.

Knowledge graphs occasionally need to be updated.

All of the above are true.",All of the above are true.,"Final Assessment

Graded Quiz
.
 • 1h

DueSep 10, 11:59 PM +07"
Which of the following questions cannot be answered in a straightforward way by using a knowledge graph?,"Is diabetes mellitus a disease of the endocrine system?

Is aspirin an anti-inflammatory medication?

How many different kinds of blood tests are there?

Has a patient ever taken penicillin to treat bladder cancer? 

All of the above could be answered.",Has a patient ever taken penicillin to treat bladder cancer? ,"Final Assessment

Graded Quiz
.
 • 1h

DueSep 10, 11:59 PM +07"
Which of the following statements about missing data is true?,"Missing data should be removed from the analysis.

Missing data mean that someone made a mistake.

The code ""NA"" is often used to indicate missing data.

If missing data are later found, they should automatically be inserted into the dataset at the appropriate location.

All of the above statements are true.","The code ""NA"" is often used to indicate missing data.","Final Assessment

Graded Quiz
.
 • 1h

DueSep 10, 11:59 PM +07"
Which of the following statements about features is false?,"The unit of analysis determines what goes in the rows of a patient-feature matrix.

An indicator variable is used to mark patients who forget to take their medications.

The patient-feature matrix is a two-dimensional array that contains numbers representing measurements, counts, and other feature values.

To answer most clinical research questions, we would expect the unit of analysis to be the patient.

All of the above statements are false.",An indicator variable is used to mark patients who forget to take their medications.,"Final Assessment

Graded Quiz
.
 • 1h

DueSep 10, 11:59 PM +07"
Which of the following statements is false?,"Clinical text is written in grammatical English.

Clinical text contains the same information as is in billing codes.

Clinical text is primarily written to be read by patients.

Clinical text usually uses the full name of a medication.

All of the above are false.",All of the above are false.,"Final Assessment

Graded Quiz
.
 • 1h

DueSep 10, 11:59 PM +07"
"Which of the following is an example of the present, positive mention of a medical term?","The patient has never tried riluzole.

The patient reports having rheumatic fever at age 5.

There is no family history of any kind of cancer.

The patient developed an allergic reaction to penicillin, so stopped taking it.

None of the above are present, positive mentions.","None of the above are present, positive mentions.","Final Assessment

Graded Quiz
.
 • 1h

DueSep 10, 11:59 PM +07"
Which of the following statements about electronic phenotyping is false?,"An electronic phenotype is any mention of a disease in the electronic medical record.

An electronic phenotype should specify when the condition of interest started and stopped.

Electronic phenotyping is useful for identifying patients who could be eligible for a clinical trial.

Electronic phenotyping facilitates cross-site research, but does not guarantee that it will be error-free.

All of the above are true.",An electronic phenotype is any mention of a disease in the electronic medical record.,"Final Assessment

Graded Quiz
.
 • 1h

DueSep 10, 11:59 PM +07"
Which of the following statements is true?,"A feature is the same thing as a phenotype.

A timeline is an important input to the electronic phenotyping process.

An electronic phenotype is the same as a diagnosis code.

Blood pressure is a good example of a phenotype.

None of these are true.",A timeline is an important input to the electronic phenotyping process.,"Final Assessment

Graded Quiz
.
 • 1h

DueSep 10, 11:59 PM +07"
Which of the following statements is true?,"A rule-based phenotype is easy to interpret because it is always represented in English.

A rule-based phenotype is usually easier to understand than a probabilistic phenotype. 

Electronic phenotyping is best done independent of the clinical research question.

Probabilistic phenotypes are built out of inclusion and exclusion criteria.

All of the above are true.",A rule-based phenotype is usually easier to understand than a probabilistic phenotype. ,"Final Assessment

Graded Quiz
.
 • 1h

DueSep 10, 11:59 PM +07"
Which of the following elements of the electronic medical record could be part of an electronic phenotype?,"A feature in a chest x-ray

Their resting heart rate at last clinic visit

The most recent measurement of HbA1c (glycosylated hemoglobin)

The patient's weight

All of the above",All of the above,"Final Assessment

Graded Quiz
.
 • 1h

DueSep 10, 11:59 PM +07"
Which of the following INCORRECTLY pairs a tool used by intermediaries with an example of its use?,"Tiered formulary: an insurance company requires a smaller copayment from patients when they use the drugs preferred by the company, usually generic drugs. 

Case management: an insurance company works with doctors to ensure that a patient receives appropriate follow-up care after returning home from a hospitalization. 

Utilization review: an insurance company asks for a second physician’s opinion before approving a patient’s surgery.

Pre-admission review: prior to surgery, an insurance company requires that a patient get approval for a hospital stay following surgery, or else the company will not pay for the hospitalization. ",Case management: an insurance company works with doctors to ensure that a patient receives appropriate follow-up care after returning home from a hospitalization. ,"Knowledge Check

Practice Quiz
.
 • 30 min
.
 • 
3 total points available.
3 total points"
"Assume a patient has an upcoming medical procedure that will cost $1000.  
 
 Suppose the patient is in a health plan with a $2000 deductible, after which 10% coinsurance applies.  Suppose this will be the patient’s first health care expense of the year.  How much can the patient expect to pay out of pocket for this procedure? 

$_______

Please write the answer in numeric form. No need to add a dollar sign.",,,"Knowledge Check

Practice Quiz
.
 • 30 min
.
 • 
3 total points available.
3 total points"
Choose the decade when artificial intelligence applications in healthcare were first reported:,"1990-1999

1950-1959

2000-2009

1970-1979

2010-2019",1970-1979,"Final Assessment

Graded Quiz
.
 • 1h

DueSep 10, 11:59 PM +07"
Which of the following statements is true?  ,"Most hospitals use a standardized IT and electronic health record workflow

Medical data is generated in an organized systematic way that is very amenable to data science techniques and applications

Clinical structured data is not well suited for traditional programming approaches compared to imaging data

Medical data is estimated to double in volume every 2-3 months on average",Medical data is estimated to double in volume every 2-3 months on average,"Final Assessment

Graded Quiz
.
 • 1h

DueSep 10, 11:59 PM +07"
What is an example of the difference between classical programming and machine learning approaches?,"Machine learning is useful in healthcare while classical programming is not 

Machine learning requires significantly less data to work as compared to classical programming

Machine learning algorithm does not require human programmer

Machine learning learn rules from input and the desired output example, while classical programming requires programmers to manually design and implement these rules","Machine learning learn rules from input and the desired output example, while classical programming requires programmers to manually design and implement these rules","Final Assessment

Graded Quiz
.
 • 1h

DueSep 10, 11:59 PM +07"
Which of the following schematics best represents a machine learning paradigm to model building?,"





",,"Final Assessment

Graded Quiz
.
 • 1h

DueSep 10, 11:59 PM +07"
